id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
PK0099_178,"Băng đô sừng nai","Băng đô sừng nai",http://localhost/wordpress/wp-content/uploads/2020/10/taihuou.jpg,http://localhost/wordpress/sản phẩm/bang-do-sung-nai/,"Băng đô sừng nai","Hoàng Thiên Sâm",35000VND,in stock,PK0099_178,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,35000VND,new,published,,,,,,,
B0056_175,"BỘ SẢN PHẨM CHĂM SÓC CƠ THỂ BEYOND FANTASTIC BODY SET","🍊🍋Với mùi hương cam chanh cùng công dụng dưỡng ẩm hiệu quả, bộ sản phẩm sữa tắm và sữa dưỡng từ hãng Beyond mang đến 1 làn da mịn màng và khoẻ khoắn cho bạn 🍊🍋 
 
BỘ SẢN PHẨM CHĂM SÓC CƠ THỂ BEYOND FANTASTIC BODY SET 
Giá: 580.000₫/set 4 món. 
 
Fantastic body set là bộ sản phẩm chăm sóc cơ thể được chiết xuất từ cam chanh tăng cường giữ ẩm tái tạo da, cung cấp các chất dinh dưỡng cần thiết cho da. Bộ sản phẩm bao gồm sữa tắm và sữa dưỡng ẩm có kết cấu dễ dàng thẩm thấu và mùi hương trái cây dễ chịu.",http://localhost/wordpress/wp-content/uploads/2020/10/jj.jpg,http://localhost/wordpress/sản phẩm/bo-san-pham-cham-soc-co-the-beyond-fantastic-body-set/,"BỘ SẢN PHẨM CHĂM SÓC CƠ THỂ BEYOND FANTASTIC BODY SET","Hoàng Thiên Sâm",580000VND,in stock,B0056_175,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,580000VND,new,published,,,,,,,
A1005_170,"Dầu Dưỡng Tóc L'Oreal Paris Chiết Xuất Tinh Dầu Hoa 100ml","Dưỡng tóc chuyên sâu gấp 2 lần, giúp tóc suôn mượt bồng bềnh, dễ vào nếp. 
Thành phần có chứa dưỡng chất 6 loại hoa, dầu argan, hoa hồng, hoa sen, hoa hướng dương, hoa cúc, đậu nành. 
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ...",http://localhost/wordpress/wp-content/uploads/2020/10/dau-duong-toc-chiet-xuat-tinh-dau-hoa-tu-nhien100ml.jpg,http://localhost/wordpress/sản phẩm/dau-duong-toc-loreal-paris-chiet-xuat-tinh-dau-hoa-100ml/,"Chăm sóc tóc, Dầu Dưỡng Tóc L'Oreal Paris Chiết Xuất Tinh Dầu Hoa 100ml","Hoàng Thiên Sâm",169000VND,in stock,A1005_170,,"http://localhost/wordpress/wp-content/uploads/2020/10/duong-toc-loreal-23102019104031.png,http://localhost/wordpress/wp-content/uploads/2020/10/Tinh-dau-duong-toc-Loreal.jpg,http://localhost/wordpress/wp-content/uploads/2020/10/tinhdau.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,169000VND,new,published,,,,,,,
A001_129,"Băng đô tai thỏ","[Best_Wordpress_Gallery id='1' gal_title='All images'] 
 
Sau một ngày học tập và làm việc vất vả, các chị em thường về nhà chăm chút lại cho làn da của mình. Để có thể tẩy trang, thoa nước hoa hồng, đắp mặt nạ... một cách dễ dàng thì các chị em sẽ cần một em băng đô siêu dễ thương của nhà Lĩnh đấy. 
 
  
 
-Chất liệu: Vải nhung mềm mại. 
 
-Kích thước: 11 x 20.5 x 5cm. 
 
-Trọng lượng: 41g. 
 
-Thiết kế: Đáng yêu, xinh xắn, dễ mang đi khi di chuyển. 
 
-Công dụng: Ôm sát tóc mái, dễ dàng hơn trong các hoạt động chăm sóc da mặt. Ngoài ra cũng có thể đeo đi chơi nữa nè. 
 
- Đường may chắc chắn, tỉ mỉ, đẹp mắt. 
 
- Là món quà tặng ý nghĩa cho bạn bè và người thân.",http://localhost/wordpress/wp-content/uploads/2020/10/taitho.jpg,http://localhost/wordpress/sản phẩm/bang-do-tai-tho/,"Phụ kiện làm đẹp","Hoàng Thiên Sâm",30000VND,in stock,A001_129,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30000VND,new,published,,,,,,,
wc_post_id_114,"Xịt mụn lưng BoDy","Bạn có muốn tấm lưng của bạn cũng được như vậy không, sẽ trắng ngần không bị mụn viêm nang lông và tự tin khoe áo hai dây 
 
 
Đến với XỊT NND thì điều gì cũng có thể đó 
 
 
#hoàngthiênsâmđặctrịmụnbọcmụntrứngcá #mụnđầuđenmụncámmụnthâm 
#trịnámtànnhanghỗtrợlàmđầysẹorỗ 
#nhấtnamdượctrịmụnlưngvaicánhtay 
#trịviêmnangchânlông #trịmụntậngốcKotáiphát",http://localhost/wordpress/wp-content/uploads/2020/10/z2122684600569_2ae8d10c7f73288b78d74cc057d8abd1.jpg,http://localhost/wordpress/sản phẩm/xit-mun-lung-body/,"Xịt mụn lưng Nhất Nam Dược","Hoàng Thiên Sâm",450000VND,in stock,wc_post_id_114,,"http://localhost/wordpress/wp-content/uploads/2020/10/z2122685142856_0d1bf5acdb4058ec24ff897c5e5180b7.jpg,http://localhost/wordpress/wp-content/uploads/2020/10/z2122685163886_ff432df8902d37a5afaafa2ba0514661.jpg,http://localhost/wordpress/wp-content/uploads/2020/10/z2122686470424_5d968ec8318a3229a96076988e1e93ad.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,450000VND,new,published,,,,,,,
wc_post_id_111,"Dầu gội BEYOND","Dầu gội dược mỹ phẩm giảm rụng tóc, nuôi dưỡng tóc chắc khỏe Isomax For Men 200ml 
 
  
 
Công dụng : Giúp giảm rụng tóc, nuôi dưỡng tóc chắc khỏe , giúp tóc bồng bềnh óng mượt và phát triển tóc",http://localhost/wordpress/wp-content/uploads/2020/10/formen.jpg,http://localhost/wordpress/sản phẩm/dau-goi-beyond/,"Dầu gội BEYOND (for men)","Hoàng Thiên Sâm",169000VND,in stock,wc_post_id_111,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,169000VND,new,published,,,,,,,
wc_post_id_110,"Dầu gội AMLA","‼️ CHỊ EM PHỤ NỮ BẮT BUỘC PHẢI ĐỌC BÀI VIẾT NÀY‼️  
 
Có người đã từng nói: “PHỤ NỮ XINH HAY ĐẸP LÀ PHỤ THUỘC VÀO MÁI TÓC CỦA CHÍNH HỌ”.  
 
Điều này có chính xác hay không? Nếu điều này là chính xác thì đâu là nguyên nhân mà một số CHỊ EM lại KHÔNG XINH ĐẸP được như ý muốn ?  
 
❎ Tóc rụng nhiều ảnh hưởng đến ngoại hình chị em  
 
❎ Tóc sơ khiến chị em không được quyến rũ  
 
❎ Tóc có mùi khó chịu khiến chị em ngại giao tiếp 
 
------------------------------------------------------------------------------ 
 
✅AMLA giảm rụng tóc chỉ sau 2 tuần sử dụng.  
 
✅AMLA cam kết giải quyết dứt điểm tình trạng rụng tóc, tóc hư tổn, bết ngứa, tóc con mọc chỉ sau 5 tuần sử dụng.  
 
✅AMLA giúp giảm stress với hương thơm tự nhiên nhẹ nhàng của sả, amla, hương nhu, bồ kết và chanh. ✅AMLA giúp tóc khỏe từ bên trong, bảo vệ tóc và da đầu khỏi các tác nhân gây hại từ môi trường 
 
✨ Cam kết sản phẩm đạt chất lượng uy tín. Sản phẩm đã được thẩm định bởi các chuyên gia hàng đầu về lĩnh vực y tế.",http://localhost/wordpress/wp-content/uploads/2020/10/bo-3-cham-soc-toc-vijully-1.jpg,http://localhost/wordpress/sản phẩm/dau-goi-amla/,"Dầu gội Amla","Hoàng Thiên Sâm",210000VND,in stock,wc_post_id_110,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,210000VND,new,published,,,,,,,
wc_post_id_42,"Dưỡng Siêu Cấp","Dưỡng ẩm sâu, giảm nhờn, làm mềm da. Kháng khuẩn, chống viêm, ngăn ngừa mụn và se khít lỗ chân lông. Bổ sung dưỡng chất giúp da luôn khỏe và trắng hồng. 
 
Hỗ trợ nhanh chóng quá trình phục hồi da tái tạo, rút ngắn thời gian bong da sau liệu trình. Đặc biệt thích hợp với mọi loại da, không gây kích ứng. 
 
Thành phần: Tinh chất nghệ đen, nấm linh chi, tinh dầu tầm xuân, oải hương, hoa nhài, trà xanh và một số loại thảo dược khác.",http://localhost/wordpress/wp-content/uploads/2020/10/a7ba15328d8476da2f95.jpg,http://localhost/wordpress/sản phẩm/duong-sieu-cap/,"Chưa phân loại","Hoàng Thiên Sâm",300000VND,in stock,wc_post_id_42,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,300000VND,new,published,,,,,,,
wc_post_id_39,"Bột Thảo Dược","Có thể bạn chưa biết? 
Bột thảo dược có thể thay thế sửa rửa mặt cho các bạn đã và đang tái tạo với các công dụng nổi bật: 
Làm sạch bề mặt da 
Kiểm soát nhờn 
Căng mịn và trắng sáng 
Thông thoáng lỗ chân lông 
Cân bằng độ ẩm 
Đối với những bạn ĐANG tái tạo thì rất là cần sự có mặt của em BỘT THẢO DƯỢC này Vì nhiều lần thoa tái tạo lên da như vậy thì có thể xuất hiện một lớp màng do thuốc còn đọng lại sẽ làm cản trở cho những lần thoa tái tạo tiếp theo, vì vậy mà BỘT THẢO DƯỢC là thực sự cần thiết để làm sạch da, đẩy nhanh quá trình tái tạo. 
Sau tái tạo vẫn sử dụng thay sửa rửa mặt luôn vì em này quá NHIỀU CÔNG DỤNG sài sướng hơn nhiều, vừa không gây kích ứng da, phù hợp với từng loại da vừa hạn chế sự hình thành của mụn trên da nữa! 
 
 
Tới khúc này, phát hiện mình chửn bị khui tiếp một lọ haha. 
 
 
#BộtThảoDược 
#HoàngThiênSâm",http://localhost/wordpress/wp-content/uploads/2020/10/0bd550806d02905cc913.jpg,http://localhost/wordpress/sản phẩm/bot-thao-duoc/,"Bột Rửa Mặt","Hoàng Thiên Sâm",280000VND,in stock,wc_post_id_39,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,280000VND,new,published,,,,,,,
wc_post_id_21,"Trị Mụn Hoàng Thiên Sâm","𝐊𝐇𝐎̂𝐍𝐆 𝐂𝐀̂̀𝐍 Đ𝐀𝐎 𝐓𝐎 𝐁𝐔́𝐀 𝐋𝐎̛́𝐍 
 
 
hoangthiensam.com cam kết bảo hành hoàn 500% nếu không hết mụn. 
 
 
Tinh chất tái tạo HoàngThiênSâm tạo ra là để : 
 Trị mụn tận gốc 
 Làm mờ nám, tàn nhang 
 Da sần sùi 
 Da sỉn màu, không đều màu 
 Lỗ chân lông to 
 
 
 𝑨𝒏 𝒕𝒐𝒂̀𝒏, 𝒑𝒉𝒖̀ 𝒉𝒐̛̣𝒑 𝒎𝒐̣𝒊 𝒍𝒐𝒂̣𝒊 𝒅𝒂, 𝒌𝒆̂̉ 𝒄𝒂̉ 𝒄𝒂́𝒄 𝒍𝒐𝒂̣𝒊 𝒅𝒂 đ𝒂̃ 𝒕𝒓𝒊̣ 𝒎𝒖̣𝒏 𝒍𝒂̂𝒖 𝒌𝒉𝒐̉𝒊 
 
 
𝚃𝚁𝙸̣ 𝙼𝚄̣𝙽 𝚃𝙰̣𝙸 𝙽𝙷𝙰̀, 𝙺𝙷𝙾̂𝙽𝙶 𝙲𝙰𝙽 𝚃𝙷𝙸𝙴̣̂𝙿 𝙲𝙾̂𝙽𝙶 𝙽𝙶𝙷𝙴̣̂.",http://localhost/wordpress/wp-content/uploads/2020/10/c63f37383abac7e49eab.jpg,http://localhost/wordpress/sản phẩm/tri-mun-hoang-thien-sam/,"Tinh Chất Tái Tạo","Hoàng Thiên Sâm",390000VND,in stock,wc_post_id_21,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,390000VND,new,published,,,,,,,
